timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,Latency,Hostname,"UUID"
2013/11/27 13:30:59.519,425,Get Antonio-Regular.tff,200,OK,Thread Group 1-27,true,48286,87,CACSVM-12354.local,27
2013/11/27 13:30:57.930,2014,Get Antonio-Regular.tff,200,OK,Thread Group 1-3,true,48286,285,CACSVM-12354.local,3
2013/11/27 13:30:59.561,418,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-16,true,64261,62,CACSVM-12354.local,16
2013/11/27 13:30:59.772,451,Get Roboto-Medium.woff,200,OK,Thread Group 1-13,true,70569,80,CACSVM-12354.local,13
2013/11/27 13:30:58.831,1391,Get html,200,OK,Thread Group 1-40,true,168531,163,CACSVM-12354.local,40
2013/11/27 13:30:56.853,3369,Call ajax,200,OK,Thread Group 1-7,true,168388,41,CACSVM-12354.local,7
2013/11/27 13:30:59.814,448,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-1,true,64261,108,CACSVM-12354.local,1
2013/11/27 13:30:59.980,328,Get Roboto-Light.woff,200,OK,Thread Group 1-16,true,71137,88,CACSVM-12354.local,16
2013/11/27 13:30:59.035,1348,Get html,200,OK,Thread Group 1-42,true,168531,141,CACSVM-12354.local,42
2013/11/27 13:31:00.224,205,Get Antonio-Regular.tff,200,OK,Thread Group 1-7,true,48286,67,CACSVM-12354.local,7
2013/11/27 13:31:00.224,220,Get Antonio-Light.woff,200,OK,Thread Group 1-13,true,43894,68,CACSVM-12354.local,13
2013/11/27 13:30:58.285,2223,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-12,true,64261,891,CACSVM-12354.local,12
2013/11/27 13:30:58.274,2272,Call ajax,200,OK,Thread Group 1-22,true,168374,88,CACSVM-12354.local,22
2013/11/27 13:31:00.309,319,Get Roboto-Medium.woff,200,OK,Thread Group 1-16,true,70569,78,CACSVM-12354.local,16
2013/11/27 13:30:58.516,2114,Get html,200,OK,Thread Group 1-37,true,168535,179,CACSVM-12354.local,37
2013/11/27 13:31:00.445,208,Get Antonio-Regular.woff,200,OK,Thread Group 1-13,true,43430,71,CACSVM-12354.local,13
2013/11/27 13:30:59.881,783,Get main.css,200,OK,Thread Group 1-9,true,47605,101,CACSVM-12354.local,9
2013/11/27 13:30:59.560,1104,Get html,200,OK,Thread Group 1-47,true,168531,128,CACSVM-12354.local,47
2013/11/27 13:30:59.945,829,Get Antonio-Light.ttf,200,OK,Thread Group 1-27,true,46906,64,CACSVM-12354.local,27
2013/11/27 13:31:00.654,135,Get img-s49281a147f.png,200,OK,Thread Group 1-13,true,24351,70,CACSVM-12354.local,13
2013/11/27 13:31:00.224,664,Call ajax,200,OK,Thread Group 1-40,true,168374,71,CACSVM-12354.local,40
2013/11/27 13:30:58.620,2269,Get html,200,OK,Thread Group 1-38,true,168529,161,CACSVM-12354.local,38
2013/11/27 13:31:00.799,96,Get show image,200,OK,Thread Group 1-13,true,29825,60,CACSVM-12354.local,13
